Category,Coach,Pixel ID,Course Code,Course Name,L1 Slug,L2 Slug,L3 Slug,L4 Slug,L1 Tag,PRO Tag,CF L1 SKU,CF PRO SKU,Sales Page Slug,Checkout Slug,OTO 1 Slug,Thank You Page Slug,L1 Price,PRO Price,Status,Tier,Priority
MIND-BODY MODALITIES,Maya,MayaMindfulness,MM037,Certified TRE (Trauma Release Exercises) Therapist™,tre-trauma-release-exercises-therapist,mm037-pro-advanced,mm037-pro-master,mm037-pro-practice,tre_trauma_release_exercises_therapist_purchased,mm037_pro_accelerator_purchased,tre-trauma-release-exercises-therapist-certification,mm037-pro-accelerator,tre-trauma-release-exercises-therapist-certification,checkout-tre-trauma-release-exercises-therapist,oto-mm037-pro-accelerator,thank-you-tre-trauma-release-exercises-therapist,97,397,GENERATE NOW,FRONTEND,33
THERAPY MODALITIES,Maya,MayaTherapyModalities,TM013,Certified Parts Work & IFS Therapist™,parts-work-and-ifs-therapist,tm013-pro-advanced,tm013-pro-master,tm013-pro-practice,parts_work_and_ifs_therapist_purchased,tm013_pro_accelerator_purchased,parts-work-and-ifs-therapist-certification,tm013-pro-accelerator,parts-work-and-ifs-therapist-certification,checkout-parts-work-and-ifs-therapist,oto-tm013-pro-accelerator,thank-you-parts-work-and-ifs-therapist,97,397,GENERATE NOW,FRONTEND,34
GRIEF & BEREAVEMENT,Olivia,OliviaGriefEndoflife,GL009,Certified Death Doula Specialist™,death-doula-specialist,gl009-pro-advanced,gl009-pro-master,gl009-pro-practice,death_doula_specialist_purchased,gl009_pro_accelerator_purchased,death-doula-specialist-certification,gl009-pro-accelerator,death-doula-specialist-certification,checkout-death-doula-specialist,oto-gl009-pro-accelerator,thank-you-death-doula-specialist,97,397,GENERATE NOW,FRONTEND,35
SENIOR & END-OF-LIFE,Olivia,OliviaGriefEndoflife,GL013,Certified Grief & Loss Specialist™,grief-and-loss-specialist,gl013-pro-advanced,gl013-pro-master,gl013-pro-practice,grief_and_loss_specialist_purchased,gl013_pro_accelerator_purchased,grief-and-loss-specialist-certification,gl013-pro-accelerator,grief-and-loss-specialist-certification,checkout-grief-and-loss-specialist,oto-gl013-pro-accelerator,thank-you-grief-and-loss-specialist,97,397,GENERATE NOW,FRONTEND,36
NARCISSISTIC ABUSE & RELATIONSHIP TRAUMA,Olivia,OliviaNarcTrauma,NT005,Certified Betrayal Trauma Recovery Specialist™,betrayal-trauma-recovery-specialist,nt005-pro-advanced,nt005-pro-master,nt005-pro-practice,betrayal_trauma_recovery_specialist_purchased,nt005_pro_accelerator_purchased,betrayal-trauma-recovery-specialist-certification,nt005-pro-accelerator,betrayal-trauma-recovery-specialist-certification,checkout-betrayal-trauma-recovery-specialist,oto-nt005-pro-accelerator,thank-you-betrayal-trauma-recovery-specialist,97,397,GENERATE NOW,FRONTEND,37
NARCISSISTIC ABUSE & RELATIONSHIP TRAUMA,Olivia,OliviaNarcTrauma,NT007,Certified Codependency Recovery Specialist™,codependency-recovery-specialist,nt007-pro-advanced,nt007-pro-master,nt007-pro-practice,codependency_recovery_specialist_purchased,nt007_pro_accelerator_purchased,codependency-recovery-specialist-certification,nt007-pro-accelerator,codependency-recovery-specialist-certification,checkout-codependency-recovery-specialist,oto-nt007-pro-accelerator,thank-you-codependency-recovery-specialist,97,397,GENERATE NOW,FRONTEND,38
TRAUMA RECOVERY,Olivia,OliviaNarcTrauma,NT061,Certified EMDR-Informed Trauma Specialist™,emdr-informed-trauma-specialist,nt061-pro-advanced,nt061-pro-master,nt061-pro-practice,emdr_informed_trauma_specialist_purchased,nt061_pro_accelerator_purchased,emdr-informed-trauma-specialist-certification,nt061-pro-accelerator,emdr-informed-trauma-specialist-certification,checkout-emdr-informed-trauma-specialist,oto-nt061-pro-accelerator,thank-you-emdr-informed-trauma-specialist,97,397,GENERATE NOW,FRONTEND,39
TRAUMA RECOVERY,Olivia,OliviaNarcTrauma,NT060,Certified Inner Child Healing Specialist™,inner-child-healing-specialist,nt060-pro-advanced,nt060-pro-master,nt060-pro-practice,inner_child_healing_specialist_purchased,nt060_pro_accelerator_purchased,inner-child-healing-specialist-certification,nt060-pro-accelerator,inner-child-healing-specialist-certification,checkout-inner-child-healing-specialist,oto-nt060-pro-accelerator,thank-you-inner-child-healing-specialist,97,397,GENERATE NOW,FRONTEND,40
NARCISSISTIC ABUSE & RELATIONSHIP TRAUMA,Olivia,OliviaNarcTrauma,NT040,Certified Narcissistic Abuse Recovery Specialist™,narcissistic-abuse-recovery-specialist,nt040-pro-advanced,nt040-pro-master,nt040-pro-practice,narcissistic_abuse_recovery_specialist_purchased,nt040_pro_accelerator_purchased,narcissistic-abuse-recovery-specialist-certification,nt040-pro-accelerator,narcissistic-abuse-recovery-specialist-certification,checkout-narcissistic-abuse-recovery-specialist,oto-nt040-pro-accelerator,thank-you-narcissistic-abuse-recovery-specialist,97,397,GENERATE NOW,FRONTEND,41
TRAUMA RECOVERY,Olivia,OliviaNarcTrauma,NT047,Certified Sexual Trauma Recovery Specialist™,sexual-trauma-recovery-specialist,nt047-pro-advanced,nt047-pro-master,nt047-pro-practice,sexual_trauma_recovery_specialist_purchased,nt047_pro_accelerator_purchased,sexual-trauma-recovery-specialist-certification,nt047-pro-accelerator,sexual-trauma-recovery-specialist-certification,checkout-sexual-trauma-recovery-specialist,oto-nt047-pro-accelerator,thank-you-sexual-trauma-recovery-specialist,97,397,GENERATE NOW,FRONTEND,42
NARCISSISTIC ABUSE & RELATIONSHIP TRAUMA,Olivia,OliviaNarcTrauma,NT055,Certified Trauma Bond & Emotional Dependency Specialist™,trauma-bond-and-emotional-dependency-specialist,nt055-pro-advanced,nt055-pro-master,nt055-pro-practice,trauma_bond_and_emotional_dependency_specialist_purchased,nt055_pro_accelerator_purchased,trauma-bond-and-emotional-dependency-specialist-certification,nt055-pro-accelerator,trauma-bond-and-emotional-dependency-specialist-certification,checkout-trauma-bond-and-emotional-dependency-specialist,oto-nt055-pro-accelerator,thank-you-trauma-bond-and-emotional-dependency-specialist,97,397,GENERATE NOW,FRONTEND,43
TRAUMA RECOVERY,Olivia,OliviaNarcTrauma,NT056,Certified Trauma Bond Breaking Specialist™,trauma-bond-breaking-specialist,nt056-pro-advanced,nt056-pro-master,nt056-pro-practice,trauma_bond_breaking_specialist_purchased,nt056_pro_accelerator_purchased,trauma-bond-breaking-specialist-certification,nt056-pro-accelerator,trauma-bond-breaking-specialist-certification,checkout-trauma-bond-breaking-specialist,oto-nt056-pro-accelerator,thank-you-trauma-bond-breaking-specialist,97,397,GENERATE NOW,FRONTEND,44
MENTAL HEALTH & NERVOUS SYSTEM,Olivia,OliviaNeurodiversity,ND002,Certified ADHD Support Specialist™,adhd-support-specialist,nd002-pro-advanced,nd002-pro-master,nd002-pro-practice,adhd_support_specialist_purchased,nd002_pro_accelerator_purchased,adhd-support-specialist-certification,nd002-pro-accelerator,adhd-support-specialist-certification,checkout-adhd-support-specialist,oto-nd002-pro-accelerator,thank-you-adhd-support-specialist,97,397,GENERATE NOW,FRONTEND,45
MENTAL HEALTH & NERVOUS SYSTEM,Olivia,OliviaNeurodiversity,ND009,Certified Autism & Neurodiversity Support Specialist™,autism-and-neurodiversity-support-specialist,nd009-pro-advanced,nd009-pro-master,nd009-pro-practice,autism_and_neurodiversity_support_specialist_purchased,nd009_pro_accelerator_purchased,autism-and-neurodiversity-support-specialist-certification,nd009-pro-accelerator,autism-and-neurodiversity-support-specialist-certification,checkout-autism-and-neurodiversity-support-specialist,oto-nd009-pro-accelerator,thank-you-autism-and-neurodiversity-support-specialist,97,397,GENERATE NOW,FRONTEND,46
MENTAL HEALTH,Olivia,OliviaNeurodiversity,ND010,Certified Autism Level 1 Support Specialist™,autism-level-1-support-specialist,nd010-pro-advanced,nd010-pro-master,nd010-pro-practice,autism_level_1_support_specialist_purchased,nd010_pro_accelerator_purchased,autism-level-1-support-specialist-certification,nd010-pro-accelerator,autism-level-1-support-specialist-certification,checkout-autism-level-1-support-specialist,oto-nd010-pro-accelerator,thank-you-autism-level-1-support-specialist,97,397,GENERATE NOW,FRONTEND,47
MENTAL HEALTH & NERVOUS SYSTEM,Olivia,OliviaNeurodiversity,ND011,Certified Autism Support Specialist™,autism-support-specialist,nd011-pro-advanced,nd011-pro-master,nd011-pro-practice,autism_support_specialist_purchased,nd011_pro_accelerator_purchased,autism-support-specialist-certification,nd011-pro-accelerator,autism-support-specialist-certification,checkout-autism-support-specialist,oto-nd011-pro-accelerator,thank-you-autism-support-specialist,97,397,GENERATE NOW,FRONTEND,48
NEURODIVERSITY,Olivia,OliviaNeurodiversity,ND012,Certified Autism in Women Specialist™,autism-in-women-specialist,nd012-pro-advanced,nd012-pro-master,nd012-pro-practice,autism_in_women_specialist_purchased,nd012_pro_accelerator_purchased,autism-in-women-specialist-certification,nd012-pro-accelerator,autism-in-women-specialist-certification,checkout-autism-in-women-specialist,oto-nd012-pro-accelerator,thank-you-autism-in-women-specialist,97,397,GENERATE NOW,FRONTEND,49
MENTAL HEALTH & NERVOUS SYSTEM,Olivia,OliviaNeurodiversity,ND019,Certified Burnout & Stress Recovery Specialist™,burnout-and-stress-recovery-specialist,nd019-pro-advanced,nd019-pro-master,nd019-pro-practice,burnout_and_stress_recovery_specialist_purchased,nd019_pro_accelerator_purchased,burnout-and-stress-recovery-specialist-certification,nd019-pro-accelerator,burnout-and-stress-recovery-specialist-certification,checkout-burnout-and-stress-recovery-specialist,oto-nd019-pro-accelerator,thank-you-burnout-and-stress-recovery-specialist,97,397,GENERATE NOW,FRONTEND,50
MENTAL HEALTH,Olivia,OliviaNeurodiversity,ND026,Certified Diet Trauma Recovery Specialist™,diet-trauma-recovery-specialist,nd026-pro-advanced,nd026-pro-master,nd026-pro-practice,diet_trauma_recovery_specialist_purchased,nd026_pro_accelerator_purchased,diet-trauma-recovery-specialist-certification,nd026-pro-accelerator,diet-trauma-recovery-specialist-certification,checkout-diet-trauma-recovery-specialist,oto-nd026-pro-accelerator,thank-you-diet-trauma-recovery-specialist,97,397,GENERATE NOW,FRONTEND,51
EMOTIONAL & HOLISTIC WELLNESS,Olivia,OliviaNeurodiversity,ND043,Certified Inner Child Healing Specialist™,inner-child-healing-specialist,nd043-pro-advanced,nd043-pro-master,nd043-pro-practice,inner_child_healing_specialist_purchased,nd043_pro_accelerator_purchased,inner-child-healing-specialist-certification,nd043-pro-accelerator,inner-child-healing-specialist-certification,checkout-inner-child-healing-specialist,oto-nd043-pro-accelerator,thank-you-inner-child-healing-specialist,97,397,GENERATE NOW,FRONTEND,52
MENTAL HEALTH & NERVOUS SYSTEM,Olivia,OliviaNeurodiversity,ND054,Certified Nervous System Regulation Specialist™,nervous-system-regulation-specialist,nd054-pro-advanced,nd054-pro-master,nd054-pro-practice,nervous_system_regulation_specialist_purchased,nd054_pro_accelerator_purchased,nervous-system-regulation-specialist-certification,nd054-pro-accelerator,nervous-system-regulation-specialist-certification,checkout-nervous-system-regulation-specialist,oto-nd054-pro-accelerator,thank-you-nervous-system-regulation-specialist,97,397,GENERATE NOW,FRONTEND,53
MENTAL HEALTH & NERVOUS SYSTEM,Olivia,OliviaNeurodiversity,ND057,Certified Neurodiversity & Autism Support Specialist™,neurodiversity-and-autism-support-specialist,nd057-pro-advanced,nd057-pro-master,nd057-pro-practice,neurodiversity_and_autism_support_specialist_purchased,nd057_pro_accelerator_purchased,neurodiversity-and-autism-support-specialist-certification,nd057-pro-accelerator,neurodiversity-and-autism-support-specialist-certification,checkout-neurodiversity-and-autism-support-specialist,oto-nd057-pro-accelerator,thank-you-neurodiversity-and-autism-support-specialist,97,397,GENERATE NOW,FRONTEND,54
MENTAL HEALTH,Olivia,OliviaNeurodiversity,ND058,Certified OCD Recovery Specialist™,ocd-recovery-specialist,nd058-pro-advanced,nd058-pro-master,nd058-pro-practice,ocd_recovery_specialist_purchased,nd058_pro_accelerator_purchased,ocd-recovery-specialist-certification,nd058-pro-accelerator,ocd-recovery-specialist-certification,checkout-ocd-recovery-specialist,oto-nd058-pro-accelerator,thank-you-ocd-recovery-specialist,97,397,GENERATE NOW,FRONTEND,55
MENTAL HEALTH & NERVOUS SYSTEM,Olivia,OliviaNeurodiversity,ND062,Certified PTSD & Trauma Recovery Specialist™,ptsd-and-trauma-recovery-specialist,nd062-pro-advanced,nd062-pro-master,nd062-pro-practice,ptsd_and_trauma_recovery_specialist_purchased,nd062_pro_accelerator_purchased,ptsd-and-trauma-recovery-specialist-certification,nd062-pro-accelerator,ptsd-and-trauma-recovery-specialist-certification,checkout-ptsd-and-trauma-recovery-specialist,oto-nd062-pro-accelerator,thank-you-ptsd-and-trauma-recovery-specialist,97,397,GENERATE NOW,FRONTEND,56
LGBTQ+ & INCLUSIVE WELLNESS,Rachel,RachelInclusiveWellness,IW005,Certified LGBTQ+ Mental Health Coach™,lgbtq-and-mental-health-coach,iw005-pro-advanced,iw005-pro-master,iw005-pro-practice,lgbtq_and_mental_health_coach_purchased,iw005_pro_accelerator_purchased,lgbtq-and-mental-health-coach-certification,iw005-pro-accelerator,lgbtq-and-mental-health-coach-certification,checkout-lgbtq-and-mental-health-coach,oto-iw005-pro-accelerator,thank-you-lgbtq-and-mental-health-coach,97,397,GENERATE NOW,FRONTEND,57
HERBALISM & PLANT MEDICINE,Sage,SageHerbalism,HB005,Certified Herbal Digestive Health Coach™,herbal-digestive-health-coach,hb005-pro-advanced,hb005-pro-master,hb005-pro-practice,herbal_digestive_health_coach_purchased,hb005_pro_accelerator_purchased,herbal-digestive-health-coach-certification,hb005-pro-accelerator,herbal-digestive-health-coach-certification,checkout-herbal-digestive-health-coach,oto-hb005-pro-accelerator,thank-you-herbal-digestive-health-coach,97,397,GENERATE NOW,FRONTEND,58
FUNCTIONAL MEDICINE,Sarah,SarahFunctionalMedicine,FM078,Certified Functional Medicine Practitioner™,functional-medicine-practitioner,fm078-pro-advanced,fm078-pro-master,fm078-pro-practice,functional_medicine_practitioner_purchased,fm078_pro_accelerator_purchased,functional-medicine-practitioner-certification,fm078-pro-accelerator,functional-medicine-practitioner-certification,checkout-functional-medicine-practitioner,oto-fm078-pro-accelerator,thank-you-functional-medicine-practitioner,97,397,GENERATE NOW,FRONTEND,59
BUSINESS & PRACTICE BUILDING,Sarah,SarahFunctionalMedicine,FM099,Certified Health Coaching Business Specialist™,health-coaching-business-specialist,fm099-pro-advanced,fm099-pro-master,fm099-pro-practice,health_coaching_business_specialist_purchased,fm099_pro_accelerator_purchased,health-coaching-business-specialist-certification,fm099-pro-accelerator,health-coaching-business-specialist-certification,checkout-health-coaching-business-specialist,oto-fm099-pro-accelerator,thank-you-health-coaching-business-specialist,97,397,GENERATE NOW,FRONTEND,60
FUNCTIONAL MEDICINE,Sarah,SarahFunctionalMedicine,FM108,Certified Holistic Nutrition Specialist™,holistic-nutrition-specialist,fm108-pro-advanced,fm108-pro-master,fm108-pro-practice,holistic_nutrition_specialist_purchased,fm108_pro_accelerator_purchased,holistic-nutrition-specialist-certification,fm108-pro-accelerator,holistic-nutrition-specialist-certification,checkout-holistic-nutrition-specialist,oto-fm108-pro-accelerator,thank-you-holistic-nutrition-specialist,97,397,GENERATE NOW,FRONTEND,61
WOMEN'S HEALTH & HORMONES,Sarah,SarahWomensHormones,WH027,Certified Menopause & Perimenopause Specialist™,menopause-and-perimenopause-specialist,wh027-pro-advanced,wh027-pro-master,wh027-pro-practice,menopause_and_perimenopause_specialist_purchased,wh027_pro_accelerator_purchased,menopause-and-perimenopause-specialist-certification,wh027-pro-accelerator,menopause-and-perimenopause-specialist-certification,checkout-menopause-and-perimenopause-specialist,oto-wh027-pro-accelerator,thank-you-menopause-and-perimenopause-specialist,97,397,GENERATE NOW,FRONTEND,62
WOMEN'S HEALTH & HORMONES,Sarah,SarahWomensHormones,WH030,Certified PCOS & Metabolic Health Specialist™,pcos-and-metabolic-health-specialist,wh030-pro-advanced,wh030-pro-master,wh030-pro-practice,pcos_and_metabolic_health_specialist_purchased,wh030_pro_accelerator_purchased,pcos-and-metabolic-health-specialist-certification,wh030-pro-accelerator,pcos-and-metabolic-health-specialist-certification,checkout-pcos-and-metabolic-health-specialist,oto-wh030-pro-accelerator,thank-you-pcos-and-metabolic-health-specialist,97,397,GENERATE NOW,FRONTEND,63
HORMONES & METABOLISM,Sarah,SarahWomensHormones,WH038,Certified Stress & Sleep Optimization Specialist™,stress-and-sleep-optimization-specialist,wh038-pro-advanced,wh038-pro-master,wh038-pro-practice,stress_and_sleep_optimization_specialist_purchased,wh038_pro_accelerator_purchased,stress-and-sleep-optimization-specialist-certification,wh038-pro-accelerator,stress-and-sleep-optimization-specialist-certification,checkout-stress-and-sleep-optimization-specialist,oto-wh038-pro-accelerator,thank-you-stress-and-sleep-optimization-specialist,97,397,GENERATE NOW,FRONTEND,64
WOMEN'S HEALTH & HORMONES,Sarah,SarahWomensHormones,WH044,Certified Women's Hormone Health Specialist™,womens-hormone-health-specialist,wh044-pro-advanced,wh044-pro-master,wh044-pro-practice,womens_hormone_health_specialist_purchased,wh044_pro_accelerator_purchased,womens-hormone-health-specialist-certification,wh044-pro-accelerator,womens-hormone-health-specialist-certification,checkout-womens-hormone-health-specialist,oto-wh044-pro-accelerator,thank-you-womens-hormone-health-specialist,97,397,GENERATE NOW,FRONTEND,65
